,event_id,orig_event_id,player_id,player_name,team_id,team_name,possession_id,possession_name,possession_team_id,possession_number,seconds_since_poss,standart_name,period_id,time_seconds,attack_status_name,attack_type_name,attack_team_id,action_id,type_name,result_id,result_name,generic_action_type_id,generic_action_type_name,action_subtype_name,touches,shot_type,shot_handling,under_pressure,high_speed,start_x,start_y,end_x,end_y,gate_x,gate_y,opponent_position_id,opponent_id,opponent_team_name,opponent_team_id,opponent_name,body_name,is_poss_team,is_att_team
0,5180,1998205_5180,833436,Andrea Carboni,272,Cagliari,1998205___3___5180___8347___no-goal,Ball possession,272,3,0.0,Open play,1,63.24,Not started,Neutral,272,1011,Attacking pass accurate,1,success,1,Pass,Attacking pass,Unknown,Undefined,Undefined,False,False,2.9,51.6,1.1,61.2,0.0,0.0,13,239519,Cagliari,272,Dalbert Henrique Dalbert,Unknown,True,True
1,5181,1998205_5181,239519,Dalbert Henrique Dalbert,272,Cagliari,1998205___3___5180___8347___no-goal,Ball possession,272,3,1.76,Open play,1,65.0,Not started,Neutral,272,22000,Ball receiving,1,success,22,Ball receiving,Ball receiving,Unknown,Undefined,Undefined,False,False,1.1,61.2,1.1,61.2,0.0,0.0,,,,,,Unknown,True,True
2,5182,1998205_5182,239519,Dalbert Henrique Dalbert,272,Cagliari,1998205___3___5180___8347___no-goal,Ball possession,272,3,2.51,Open play,1,65.75,Not started,Neutral,272,1012,Attacking pass inaccurate,0,fail,1,Pass,Attacking pass,Unknown,Undefined,Undefined,False,False,3.8,63.5,32.9,42.4,0.0,0.0,24,70856,Inter Milan,151,Hakan Calhanoglu,Unknown,True,True
3,8347,1998205_8347,70856,Hakan Calhanoglu,151,Inter Milan,1998205___3___5180___8347___no-goal,Transition of possession,272,3,5.36,Open play,1,68.6,Not started,Neutral,272,7000,Free ball pick up,1,success,7,Free ball pick up,Free ball pick up,Unknown,Undefined,Undefined,False,False,32.9,42.4,32.9,42.4,0.0,0.0,,,,,,Unknown,False,False
