,event_id,orig_event_id,player_id,player_name,team_id,team_name,possession_id,possession_name,possession_team_id,possession_number,seconds_since_poss,standart_name,period_id,time_seconds,attack_status_name,attack_type_name,attack_team_id,action_id,type_name,result_id,result_name,generic_action_type_id,generic_action_type_name,action_subtype_name,touches,shot_type,shot_handling,under_pressure,high_speed,start_x,start_y,end_x,end_y,gate_x,gate_y,opponent_position_id,opponent_id,opponent_team_name,opponent_team_id,opponent_name,body_name,is_poss_team,is_att_team
0,5135,1998205_5135,6121,Joao Pedro Geraldino dos Santos Galvao,272,Cagliari,1998205___1___5135___5144___no-goal,Start,272,1,0.0,Indirect free kick,1,0.0,Start,Positional attack,272,1011,Attacking pass accurate,1,success,1,Pass,Attacking pass,Unknown,Undefined,Undefined,False,False,52.5,34.0,31.8,30.0,0.0,0.0,33,163764,Cagliari,272,Razvan Gabriel Marin,Unknown,True,True
1,5136,1998205_5136,163764,Razvan Gabriel Marin,272,Cagliari,1998205___1___5135___5144___no-goal,Ball possession,272,1,2.37,Open play,1,2.37,Attack,Positional attack,272,1011,Attacking pass accurate,1,success,1,Pass,Attacking pass,Unknown,Undefined,Undefined,False,False,31.8,30.0,64.6,5.4,0.0,0.0,44,185339,Cagliari,272,Alessandro Deiola,Unknown,True,True
2,5137,1998205_5137,185339,Alessandro Deiola,272,Cagliari,1998205___1___5135___5144___no-goal,Ball possession,272,1,5.18,Open play,1,5.18,Attack,Positional attack,272,2021,Air challenges / won,1,success,2,Challenges,Air challenge,Unknown,Undefined,Undefined,False,False,64.6,5.4,64.6,5.4,0.0,0.0,24,70856,Inter Milan,151,Hakan Calhanoglu,Unknown,True,True
4,5139,1998205_5139,366890,Alessandro Bastoni,151,Inter Milan,1998205___1___5135___5144___no-goal,Ball possession,272,1,6.57,Open play,1,6.57,Attack,Positional attack,272,1012,Attacking pass inaccurate,0,fail,1,Pass,Attacking pass,Unknown,Undefined,Undefined,False,False,76.3,8.3,45.7,9.2,0.0,0.0,32,3898,Cagliari,272,Diego Roberto Godin Leal,Unknown,False,False
3,8346,1998205_8346,366890,Alessandro Bastoni,151,Inter Milan,1998205___1___5135___5144___no-goal,Ball possession,272,1,6.58,Open play,1,6.58,Attack,Positional attack,272,7000,Free ball pick up,1,success,7,Free ball pick up,Free ball pick up,Unknown,Undefined,Undefined,False,False,76.3,8.3,76.3,8.3,0.0,0.0,,,,,,Unknown,False,False
